title,performer,genre,sentiment,party,cand_full,cand_f,cand_l,campaign,event_type,url_used,year,cand_year,is_instrumental,n_words,lang_song,bad_scrape,title_key,num_plays,song_ct,id,NRC_anger,NRC_anticipation,NRC_disgust,NRC_fear,NRC_joy,NRC_sadness,NRC_surprise,NRC_trust,NRC_negative,NRC_positive,n_tokens,n_vad,vad_coverage,avg_valence,avg_arousal,avg_dominance,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,woman,lastname_year,front_runner,i_less_we,fem_male
Feelin' Good Again,Robert Earl Keen,pop/rock,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/robert-earl-keen-feelin-good-again-lyrics,2016,Bush 2016,FALSE,301,en,FALSE,feelin' good again,3,11,1,0.3389830508474576,1.694915254237288,0.3389830508474576,0.6779661016949152,2.0338983050847457,0.3389830508474576,1.694915254237288,2.0338983050847457,0.6779661016949152,3.389830508474576,297,88,0.2962962962962963,0.21601309707241909,0.1369029275808937,0.16101694915254236,1,295,31.14,46.07,98.71,91.11,147.5,9.15,85.76,70.85,54.92,18.98,15.59,9.49,0,3.39,0.34,2.37,3.39,12.2,6.1,1.02,10.51,5.08,7.12,8.47,0,17.97,2.71,2.71,0.68,0.68,0,0,18.64,1.36,8.47,5.08,0.34,2.03,0.68,0,1.36,0,5.08,5.08,0,4.07,4.07,0,0,0,0,0,9.83,1.69,0,0.68,0.34,0,0.68,8.47,0.34,0.34,0,1.36,0,0,0,0,3.73,1.69,0.68,0,1.36,0,1.02,0,0,0,0,0.34,0,0.34,0,0,2.03,1.02,0,0,0,0,0,0.34,6.1,22.71,0.34,3.73,9.49,4.75,2.03,3.39,3.73,13.9,1.69,0,2.37,2.37,0,0,0,8.81,0.34,2.03,0,0,5.08,1.36,0,0,Bush 2016,0,9.49,-1.36
The Workingman's Hymn,Joshua Davis,pop/rock,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/joshua-davis-the-workingmans-hymn-lyrics,2016,Bush 2016,FALSE,268,en,FALSE,the workingman's hymn,3,11,2,0.746268656716418,1.1194029850746268,0,1.1194029850746268,1.492537313432836,1.492537313432836,0.373134328358209,1.8656716417910448,1.492537313432836,2.611940298507463,268,95,0.35447761194029853,0.2310801256873527,0.14136684996072274,0.18777297721916733,1,268,25.19,62.2,97.65,25.02,268,4.85,88.06,79.1,63.81,24.63,11.57,6.34,4.85,0,0,0.37,13.06,20.52,8.96,2.61,12.69,10.07,9.7,2.61,0,22.76,2.99,4.85,6.34,4.85,0,1.49,18.66,0,15.67,6.34,1.49,5.22,1.87,0,2.61,0,2.61,1.49,1.12,0.37,0,0.37,0,0,0,0,8.21,0.37,0,0,0,0.37,0,7.84,0.75,0,0,0.75,0,0,0,0,2.24,0,0.75,0,0,1.49,1.87,0.37,0.37,0,0,0,0,1.12,0,1.12,0,0.37,0,0,0,0,0.37,0,12.69,18.66,0,5.22,13.06,0.37,0,0.37,0.75,3.36,8.58,0,0,0,0,0,0,11.19,0,0,0,0,11.19,0,0,0,Bush 2016,0,1.4900000000000002,-0.75
Faster Than My Angels Can Fly,Eric Church,pop/rock,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/eric-church-faster-than-my-angels-can-fly-lyrics,2016,Bush 2016,FALSE,347,en,FALSE,faster than my angels can fly,2,11,3,0.30864197530864196,1.2345679012345678,0.30864197530864196,0.6172839506172839,1.2345679012345678,1.2345679012345678,0.6172839506172839,0.9259259259259259,1.5432098765432098,1.5432098765432098,324,88,0.2716049382716049,0.18567269921436586,0.1583087822671156,0.16026234567901235,1,324,29.23,1,99,24.15,324,1.54,91.36,77.16,50.62,18.21,17.28,13.89,0,1.23,0,2.16,0.93,10.19,3.4,0,15.12,11.42,2.78,8.02,1.85,22.84,8.64,0.93,1.54,0.31,0.62,0.62,26.54,1.85,13.89,0,1.85,5.25,0.31,0.31,6.17,0,1.54,0.93,0.62,0.93,0.62,0.31,0,0,0.31,0,8.95,3.4,0.31,0.31,0,0,2.16,4.63,0.31,0,0.31,0.31,0,0,0,0,6.48,0.31,0,0.31,0,5.86,1.85,0.31,0,0,0,0,0,0,0.93,0,0.31,0.93,0,0,0,0,0.31,0,6.48,20.06,0.31,14.2,5.56,0.31,0.31,0.31,11.42,6.79,8.95,0.62,6.17,0.31,4.63,1.23,0,20.37,0,7.1,0,0,10.19,3.09,0,0,Bush 2016,0,13.89,0
Uptown Funk,"Mark Ronson, Bruno Mars",pop/rock,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/mark-ronson-uptown-funk-lyrics,2016,Bush 2016,FALSE,1033,en,FALSE,uptown funk,1,11,4,0.9776536312849162,1.1173184357541899,0.41899441340782123,0.6983240223463687,1.2569832402234637,0.5586592178770949,0.8379888268156425,1.3966480446927374,1.5363128491620113,1.3966480446927374,891,220,0.24691358024691357,0.07651218892839004,0.07385601828339258,0.071141442356526155,1,716,43.08,79.42,84.03,45.44,143.2,15.22,71.51,58.52,38.27,17.04,13.13,5.17,0.84,6.56,0,0.28,3.91,4.89,2.23,0.14,9.64,4.33,4.33,2.37,2.65,15.78,3.77,0.56,1.4,0.98,0,0.42,11.87,0,5.17,2.79,1.12,0.28,0.84,0,0.7,0,5.03,2.65,0.98,1.68,1.68,0,0,0,0,1.4,14.53,4.75,0,0,0,0,3.49,9.64,0,0,1.12,0.28,0,0,0,0,1.26,0.28,0,0.28,0.56,0.14,0.42,0,0,0,0,0.14,0.28,0.14,0,0.14,0.28,0.42,0,0.14,0,0,0,0,7.54,17.6,2.51,2.65,10.75,3.07,0,2.79,1.82,0.14,5.17,1.4,8.38,4.47,1.54,2.37,0,75.56,0,22.77,0.56,0,6.84,45.39,0,0,Bush 2016,0,4.33,0.8400000000000001
Mountain Sound,Of Monsters And Men,pop/rock,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/of-monsters-and-men-mountain-sound-lyrics,2016,Bush 2016,FALSE,304,en,FALSE,mountain sound,1,11,5,0.36900369003690037,0.7380073800738007,0,0.7380073800738007,0.36900369003690037,0,0.36900369003690037,0.36900369003690037,0.36900369003690037,1.1070110701107012,286,82,0.2867132867132867,0.21312663126631268,0.12330123301233012,0.15913059130591306,1,271,88.47,99,98.55,20.23,271,8.49,81.18,72.32,54.61,16.24,15.13,2.95,8.49,2.95,0,0.74,1.11,16.97,11.07,0.37,18.45,1.48,4.43,7.38,0.74,14.76,2.58,1.48,8.49,8.49,0,0,13.65,1.11,2.21,0.74,0.74,0,0.37,0,0.37,0,0.74,0.37,0.37,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,6.27,20.66,0.37,7.75,9.59,0.74,1.85,0.37,8.86,6.27,8.12,0,2.21,0,0,0,2.21,17.71,0,12.18,0,0,0,5.54,0,0,Bush 2016,0,-5.54,0
Get Your Shine On,Florida Georgia Line,country,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/florida-georgia-line-get-your-shine-on-lyrics,2016,Bush 2016,FALSE,308,en,FALSE,get your shine on,1,11,6,0.352112676056338,0.704225352112676,0.352112676056338,0,1.408450704225352,0.352112676056338,0.704225352112676,0,0.704225352112676,3.1690140845070425,286,145,0.506993006993007,0.24566537153958234,0.1588368139873725,0.18262748907236523,1,284,82.52,99,41.26,79.61,284,9.86,83.8,54.58,38.73,13.38,12.32,2.11,0,8.8,1.41,0,1.06,12.32,3.52,0,14.08,2.11,2.11,3.52,0.7,11.27,5.99,5.63,1.41,1.41,0,0,9.51,1.41,2.46,1.06,1.41,0,0,0,0,0,3.87,3.87,0,1.41,1.41,0,0,0,0,0,17.96,3.52,0,0,0,0,0,14.44,3.52,0,2.11,0,0,0,0,0,2.11,1.41,0.7,0,0,0,3.87,0,0,0,0,0,0,1.76,0,0,0,6.34,0,0,0,0,0.35,0,13.38,22.18,0,3.52,6.69,10.92,0,1.06,4.93,0,0.7,0,0.35,0.35,0,0,0,15.49,0,8.45,0,0,6.34,0.7,0,0,Bush 2016,0,2.11,2.11
It's America,Rodney Atkins,country,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/rodney-atkins-its-america-lyrics,2016,Bush 2016,FALSE,297,en,FALSE,it's america,1,11,7,0,1.4545454545454546,0,1.0909090909090908,1.8181818181818181,0.36363636363636365,0.7272727272727273,1.4545454545454546,0.7272727272727273,2.5454545454545454,276,89,0.322463768115942,0.24132788559754856,0.15487231869254342,0.1933973442288049,1,275,42.92,35.89,84.17,54.09,91.67,10.91,85.09,61.82,50.55,18.18,6.55,5.09,0.36,0,0,1.09,11.64,15.64,10.91,1.09,10.18,12.36,3.27,5.45,0.73,18.55,3.64,3.64,1.45,1.45,0,0,20.36,1.09,5.45,0.73,0.73,1.09,1.82,0,1.45,0,2.91,2.55,0.36,1.09,1.09,0,0,0,0,0,9.09,1.82,0.36,0.36,0,0.36,0.36,6.18,0,0,0,1.45,1.45,1.09,0,0.36,7.64,2.55,1.09,2.18,0.73,1.09,1.82,0,0,0,0,0,0,0,0.36,0,0,0.73,0,0,0,0,0,0,6.18,16,0,2.55,11.64,1.09,1.09,0,3.27,2.91,10.91,0.36,2.18,0,1.45,0.73,0,21.45,0,6.91,0,1.09,13.09,0.36,0,0,Bush 2016,0,4.7299999999999995,-1.45
Homegrown,Zac Brown Band,country,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/zac-brown-band-homegrown-lyrics,2016,Bush 2016,FALSE,331,en,FALSE,homegrown,1,11,8,0.32894736842105265,0.9868421052631579,0.6578947368421053,0.9868421052631579,0.9868421052631579,1.3157894736842106,1.3157894736842106,0.9868421052631579,1.9736842105263157,1.3157894736842106,304,96,0.3157894736842105,0.2019942434210526,0.13133908991228072,0.14970531798245612,1,304,12.74,27.49,87.07,76.39,101.33,12.5,91.45,80.59,59.54,28.29,16.78,10.53,0.66,4.61,0.99,0,11.51,15.13,8.22,0,8.55,6.91,3.95,3.29,5.92,23.03,2.63,3.95,1.64,1.64,0,0,22.37,6.25,9.87,3.62,1.32,4.61,0.33,0,0.33,0,3.62,3.62,0,1.32,1.32,0,0,0,0,0,9.21,0,0,0,0,0,0,9.21,0,0.99,1.97,0,0,0,0,0,0.99,0,0.99,0,0,0,2.63,0,0,0,0,0.33,0,0.33,0.33,2.63,1.32,3.95,0,0,0,0,0,0,10.86,17.11,0,2.96,11.18,1.97,0,1.64,1.32,1.32,5.59,0.33,0.33,0,0,0.33,0,18.42,0,2.3,0.66,0,9.54,5.92,0,0,Bush 2016,0,9.87,1.97
A Little More Country Than That,Easton Corbin,country,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/easton-corbin-a-little-more-country-than-that-lyrics,2016,Bush 2016,FALSE,240,en,FALSE,a little more country than that,1,11,9,0.8438818565400844,0.8438818565400844,0.8438818565400844,0.8438818565400844,0.4219409282700422,0.8438818565400844,0,1.6877637130801688,2.109704641350211,1.2658227848101267,237,83,0.350210970464135,0.24576788165319505,0.1515682985104977,0.20406181688780436,1,237,52.88,28.46,99,45.63,237,7.59,91.56,72.57,56.12,19.83,12.66,6.75,0,4.64,0,0.42,7.17,24.05,9.7,1.27,13.5,7.17,2.11,8.44,1.27,14.77,11.81,10.55,0.84,0.42,0,0.42,22.78,0,11.81,2.11,0.84,1.27,1.69,0,7.17,0,1.69,1.69,0,0,0,0,0,0,0,0,13.08,1.27,0,0,0,0,0.42,8.44,0,0.42,1.27,0.42,0,0,0,0,3.38,2.11,0.42,0.84,0.42,0,1.27,0.84,0.42,0,0,0,0,0.42,0,0,1.27,1.69,0,0.42,0,0,0,0,9.7,16.88,2.11,1.69,12.66,0.42,0.84,0,3.8,1.69,7.59,1.69,0.42,0,0.42,0,0,9.28,0,1.27,0,0,8.02,0,0,0,Bush 2016,0,6.75,0.8500000000000001
Something To Be Proud Of,Montgomery Gentry,country,question-circle,R,Jeb Bush,Jeb,Bush,2016 Campaign,campaign rally,https://genius.com/montgomery-gentry-something-to-be-proud-of-lyrics,2016,Bush 2016,FALSE,470,en,FALSE,something to be proud of,1,11,10,1.0869565217391304,1.3043478260869565,1.0869565217391304,1.7391304347826086,1.9565217391304348,1.5217391304347827,0,1.9565217391304348,3.0434782608695654,3.4782608695652173,464,176,0.3793103448275862,0.13153779644268776,0.09387351778656126,0.11258522727272727,1,460,42.27,88.9,83.46,61.25,230,7.83,93.48,77.61,58.7,19.57,11.3,3.91,0.22,5.22,1.52,0.43,8.26,16.09,7.39,0.87,14.57,10.22,5,5.87,0.43,20.87,7.17,3.7,5.43,0.87,3.26,1.09,21.96,1.74,8.7,1.09,1.3,1.3,4.13,0.43,2.17,0,6.52,4.57,1.96,4.13,3.26,0.87,0,0.22,0.43,0,15.22,3.48,0,0,0.22,0,1.96,10.87,1.96,0,0.65,2.83,0.43,0,0,0.43,2.17,0,0,1.3,0.43,0.43,2.17,0,0,0,0,0,0,0.22,0,0.22,0,0.65,0,0,0,0,0.22,0.22,8.04,13.48,0,3.48,9.78,0.43,0.22,0.22,5.87,6.09,6.09,0,0.22,0.22,0.22,0,0,8.48,0.22,1.96,0,0,5.65,0.65,0,0,Bush 2016,0,3.69,-2.18
